year,animal_type,outcome,region,region_total
1999,Wildlife,Released,New South Wales,26
1999,Wildlife,Released,Northern Territory,6
1999,Wildlife,Released,Queensland,1461
1999,Wildlife,Released,South Australia,175
1999,Wildlife,Released,Tasmania,66
1999,Wildlife,Released,Victoria,4582
1999,Wildlife,Released,Western Australia,0
1999,Wildlife,Other,Australian Capital Territory,173
1999,Wildlife,Other,New South Wales,597
1999,Wildlife,Other,Northern Territory,32
1999,Wildlife,Other,Queensland,0
1999,Wildlife,Other,South Australia,446
1999,Wildlife,Other,Tasmania,127
1999,Wildlife,Other,Victoria,2081
1999,Wildlife,Other,Western Australia,0
1999,Wildlife,Euthanized,Australian Capital Territory,746
1999,Wildlife,Euthanized,New South Wales,181
1999,Wildlife,Euthanized,Northern Territory,50
1999,Wildlife,Euthanized,Queensland,1305
1999,Wildlife,Euthanized,South Australia,861
1999,Wildlife,Euthanized,Tasmania,75
1999,Wildlife,Euthanized,Victoria,1629
1999,Wildlife,Euthanized,Western Australia,0
1999,Other Animals,Reclaimed,Australian Capital Territory,31
1999,Other Animals,Reclaimed,New South Wales,50
1999,Other Animals,Reclaimed,Northern Territory,5
1999,Other Animals,Reclaimed,Queensland,0
1999,Other Animals,Reclaimed,South Australia,16
1999,Other Animals,Reclaimed,Tasmania,5
1999,Other Animals,Reclaimed,Victoria,2
1999,Other Animals,Reclaimed,Western Australia,0
1999,Other Animals,Rehomed,Australian Capital Territory,239
1999,Other Animals,Rehomed,New South Wales,250
1999,Other Animals,Rehomed,Northern Territory,60
1999,Other Animals,Rehomed,Queensland,43
1999,Other Animals,Rehomed,South Australia,67
1999,Other Animals,Rehomed,Tasmania,63
1999,Other Animals,Rehomed,Victoria,133
1999,Other Animals,Rehomed,Western Australia,0
1999,Other Animals,Other,Australian Capital Territory,37
1999,Other Animals,Other,New South Wales,26
1999,Other Animals,Other,Northern Territory,0
1999,Other Animals,Other,Queensland,259
1999,Other Animals,Other,South Australia,5
1999,Other Animals,Other,Tasmania,24
1999,Other Animals,Other,Victoria,18
1999,Other Animals,Other,Western Australia,12
1999,Other Animals,Euthanized,Australian Capital Territory,86
1999,Other Animals,Euthanized,New South Wales,987
1999,Other Animals,Euthanized,Northern Territory,10
1999,Other Animals,Euthanized,Queensland,318
1999,Other Animals,Euthanized,South Australia,103
1999,Other Animals,Euthanized,Tasmania,18
1999,Other Animals,Euthanized,Victoria,297
1999,Other Animals,Euthanized,Western Australia,1
2000,Dogs,Reclaimed,Australian Capital Territory,1198
2000,Dogs,Reclaimed,New South Wales,2969
2000,Dogs,Reclaimed,Northern Territory,912
2000,Dogs,Reclaimed,Queensland,1440
2000,Dogs,Reclaimed,South Australia,2651
2000,Dogs,Reclaimed,Tasmania,570
2000,Dogs,Reclaimed,Victoria,5759
2000,Dogs,Reclaimed,Western Australia,456
2000,Dogs,Rehomed,Australian Capital Territory,501
2000,Dogs,Rehomed,New South Wales,6720
2000,Dogs,Rehomed,Northern Territory,753
2000,Dogs,Rehomed,Queensland,5124
2000,Dogs,Rehomed,South Australia,1233
2000,Dogs,Rehomed,Tasmania,460
2000,Dogs,Rehomed,Victoria,5390
2000,Dogs,Rehomed,Western Australia,755
2000,Dogs,Other,Australian Capital Territory,5
2000,Dogs,Other,New South Wales,1050
2000,Dogs,Other,Northern Territory,2
2000,Dogs,Other,Queensland,102
2000,Dogs,Other,South Australia,0
2000,Dogs,Other,Tasmania,250
2000,Dogs,Other,Victoria,166
2000,Dogs,Other,Western Australia,94
2000,Dogs,Euthanized,Australian Capital Territory,269
2000,Dogs,Euthanized,New South Wales,7886
2000,Dogs,Euthanized,Northern Territory,667
2000,Dogs,Euthanized,Queensland,8538
2000,Dogs,Euthanized,South Australia,1887
2000,Dogs,Euthanized,Tasmania,554
2000,Dogs,Euthanized,Victoria,6003
2000,Dogs,Euthanized,Western Australia,107
2000,Cats,Reclaimed,Australian Capital Territory,91
2000,Cats,Reclaimed,New South Wales,181
2000,Cats,Reclaimed,Northern Territory,26
2000,Cats,Reclaimed,Queensland,163
2000,Cats,Reclaimed,South Australia,138
2000,Cats,Reclaimed,Tasmania,45
2000,Cats,Reclaimed,Victoria,625
2000,Cats,Reclaimed,Western Australia,4
2000,Cats,Rehomed,Australian Capital Territory,1367
2000,Cats,Rehomed,New South Wales,3522
2000,Cats,Rehomed,Northern Territory,568
2000,Cats,Rehomed,Queensland,3858
2000,Cats,Rehomed,South Australia,1323
2000,Cats,Rehomed,Tasmania,629
2000,Cats,Rehomed,Victoria,4146
2000,Cats,Rehomed,Western Australia,406
2000,Cats,Other,Australian Capital Territory,67
2000,Cats,Other,New South Wales,645
2000,Cats,Other,Northern Territory,2
2000,Cats,Other,Queensland,42
2000,Cats,Other,South Australia,0
2000,Cats,Other,Tasmania,176
2000,Cats,Other,Victoria,655
2000,Cats,Other,Western Australia,18
2000,Cats,Euthanized,Australian Capital Territory,940
2000,Cats,Euthanized,New South Wales,7161
2000,Cats,Euthanized,Northern Territory,987
2000,Cats,Euthanized,Queensland,10570
2000,Cats,Euthanized,South Australia,3728
2000,Cats,Euthanized,Tasmania,1294
2000,Cats,Euthanized,Victoria,8133
2000,Cats,Euthanized,Western Australia,88
2000,Horses,Reclaimed,Australian Capital Territory,0
2000,Horses,Reclaimed,New South Wales,1
2000,Horses,Reclaimed,Northern Territory,0
2000,Horses,Reclaimed,Queensland,0
2000,Horses,Reclaimed,South Australia,1
2000,Horses,Reclaimed,Tasmania,2
2000,Horses,Reclaimed,Victoria,0
2000,Horses,Reclaimed,Western Australia,0
2000,Horses,Rehomed,Australian Capital Territory,1
2000,Horses,Rehomed,New South Wales,4
2000,Horses,Rehomed,Northern Territory,0
2000,Horses,Rehomed,Queensland,21
2000,Horses,Rehomed,South Australia,3
2000,Horses,Rehomed,Tasmania,0
2000,Horses,Rehomed,Victoria,4
2000,Horses,Rehomed,Western Australia,15
2000,Horses,Other,Australian Capital Territory,1
2000,Horses,Other,New South Wales,3
2000,Horses,Other,Northern Territory,0
2000,Horses,Other,Queensland,0
2000,Horses,Other,South Australia,0
2000,Horses,Other,Tasmania,2
2000,Horses,Other,Victoria,0
2000,Horses,Other,Western Australia,3
2000,Horses,Euthanized,Australian Capital Territory,0
2000,Horses,Euthanized,New South Wales,1
2000,Horses,Euthanized,Northern Territory,0
2000,Horses,Euthanized,Queensland,1
2000,Horses,Euthanized,South Australia,1
2000,Horses,Euthanized,Tasmania,0
2000,Horses,Euthanized,Victoria,0
2000,Horses,Euthanized,Western Australia,0
2000,Livestock,Reclaimed,Australian Capital Territory,6
2000,Livestock,Reclaimed,New South Wales,0
2000,Livestock,Reclaimed,Northern Territory,0
2000,Livestock,Reclaimed,Queensland,2
2000,Livestock,Reclaimed,South Australia,20
2000,Livestock,Reclaimed,Tasmania,0
2000,Livestock,Reclaimed,Victoria,25
2000,Livestock,Reclaimed,Western Australia,2
2000,Livestock,Rehomed,Australian Capital Territory,113
2000,Livestock,Rehomed,New South Wales,318
2000,Livestock,Rehomed,Northern Territory,0
2000,Livestock,Rehomed,Queensland,237
2000,Livestock,Rehomed,South Australia,53
2000,Livestock,Rehomed,Tasmania,71
2000,Livestock,Rehomed,Victoria,257
2000,Livestock,Rehomed,Western Australia,26
2000,Livestock,Other,Australian Capital Territory,2
2000,Livestock,Other,New South Wales,72
2000,Livestock,Other,Northern Territory,0
2000,Livestock,Other,Queensland,0
2000,Livestock,Other,South Australia,0
2000,Livestock,Other,Tasmania,9
2000,Livestock,Other,Victoria,10
2000,Livestock,Other,Western Australia,5
2000,Livestock,Euthanized,Australian Capital Territory,11
2000,Livestock,Euthanized,New South Wales,79
2000,Livestock,Euthanized,Northern Territory,0
2000,Livestock,Euthanized,Queensland,141
2000,Livestock,Euthanized,South Australia,80
2000,Livestock,Euthanized,Tasmania,5
2000,Livestock,Euthanized,Victoria,36
2000,Livestock,Euthanized,Western Australia,8
2000,Wildlife,Released,Australian Capital Territory,481
2000,Wildlife,Released,New South Wales,287
2000,Wildlife,Released,Northern Territory,0
2000,Wildlife,Released,Queensland,852
2000,Wildlife,Released,South Australia,0
2000,Wildlife,Released,Tasmania,109
2000,Wildlife,Released,Victoria,2682
2000,Wildlife,Released,Western Australia,19
2000,Wildlife,Other,Australian Capital Territory,502
2000,Wildlife,Other,New South Wales,95
2000,Wildlife,Other,Northern Territory,0
2000,Wildlife,Other,Queensland,0
2000,Wildlife,Other,South Australia,506
2000,Wildlife,Other,Tasmania,125
2000,Wildlife,Other,Victoria,723
2000,Wildlife,Other,Western Australia,37
2000,Wildlife,Euthanized,Australian Capital Territory,423
2000,Wildlife,Euthanized,New South Wales,700
2000,Wildlife,Euthanized,Northern Territory,0
2000,Wildlife,Euthanized,Queensland,1225
2000,Wildlife,Euthanized,South Australia,637
2000,Wildlife,Euthanized,Tasmania,77
2000,Wildlife,Euthanized,Victoria,2739
2000,Wildlife,Euthanized,Western Australia,28
2000,Other Animals,Reclaimed,Australian Capital Territory,25
2000,Other Animals,Reclaimed,New South Wales,34
2000,Other Animals,Reclaimed,Northern Territory,0
2000,Other Animals,Reclaimed,Queensland,23
2000,Other Animals,Reclaimed,South Australia,0
2000,Other Animals,Reclaimed,Tasmania,17
2000,Other Animals,Reclaimed,Victoria,98
2000,Other Animals,Reclaimed,Western Australia,2
2000,Other Animals,Rehomed,Australian Capital Territory,276
