animal_type,category,suburb,date_range,city,area
NA,Menacing,stretton,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,keperra,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,stretton,2016-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,sunnybank,2016-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,new farm,2016-01-01,Brisbane,Central Brisbane
Other Animal,Fox,bracken ridge,2016-01-01,Brisbane,North Brisbane
Cat,Trapping,aspley,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,mitchelton,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,kenmore,2016-01-01,Brisbane,West Brisbane
Cat,Trapping,camp hill,2016-01-01,Brisbane,East Brisbane
NA,Attack On A Person,wynnum,2016-01-01,Brisbane,East Brisbane
Other Animal,Fox,kholo,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,inala,2016-01-01,Brisbane,South Brisbane
NA,NA,karawatha,2016-01-01,Brisbane,South Brisbane
Other Animal,Too Many Animals,upper mount gravatt,2016-01-01,Brisbane,South Brisbane
Dog,Too Many Animals,grange,2016-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,mitchelton,2016-01-01,Brisbane,North Brisbane
NA,Attack On A Person,moorooka,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,cannon hill,2016-01-01,Brisbane,East Brisbane
NA,Not An Attack,holland park,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,norman park,2016-01-01,Brisbane,East Brisbane
Cat,Trapping,aspley,2016-01-01,Brisbane,North Brisbane
Cat,Trapping,st lucia,2016-01-01,Brisbane,West Brisbane
Dog,NA,ellen grove,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,rocklea,2016-01-01,Brisbane,South Brisbane
Other Animal,NA,windsor,2016-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,balmoral,2016-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,pullenvale,2016-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,aspley,2016-01-01,Brisbane,North Brisbane
Other Animal,Fox,kholo,2016-01-01,Brisbane,West Brisbane
Other Animal,Pest / Feral Animal,inala,2016-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,hamilton,2016-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,aspley,2016-01-01,Brisbane,North Brisbane
Other Animal,Nuisance Animal,runcorn,2016-01-01,Brisbane,South Brisbane
Other Animal,Fox,kholo,2016-01-01,Brisbane,West Brisbane
Dog,Defecating In Public,grange,2016-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,chapel hill,2016-01-01,Brisbane,West Brisbane
Dog,Too Many Animals,chapel hill,2016-01-01,Brisbane,West Brisbane
NA,Attack On An Animal,ferny grove,2016-01-01,Brisbane,North Brisbane
Dog,Too Many Animals,hemmant,2016-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,jamboree heights,2016-01-01,Brisbane,West Brisbane
NA,Not An Attack,manly west,2016-01-01,Brisbane,East Brisbane
Cat,NA,mount gravatt east,2016-01-01,Brisbane,South Brisbane
Dog,Unregistered,annerley,2016-01-01,Brisbane,South Brisbane
Other Animal,NA,indooroopilly,2016-01-01,Brisbane,West Brisbane
NA,NA,algester,2016-01-01,Brisbane,South Brisbane
Other Animal,Fencing Issues,auchenflower,2016-01-01,Brisbane,West Brisbane
Other Animal,Odour,ellen grove,2016-01-01,Brisbane,South Brisbane
Dog,Unregistered,bracken ridge,2016-01-01,Brisbane,North Brisbane
Dog,Unregistered,bracken ridge,2016-01-01,Brisbane,North Brisbane
Dog,Unregistered,bracken ridge,2016-01-01,Brisbane,North Brisbane
Dog,Defecating In Public,west end,2016-01-01,Brisbane,Central Brisbane
Other Animal,Nuisance Animal,sunnybank hills,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,murarrie,2016-01-01,Brisbane,East Brisbane
NA,Dangerous,lota,2016-01-01,Brisbane,East Brisbane
