animal_type,category,suburb,date_range,city,area
Dog,Fencing Issues,inala,2019-04-01,Brisbane,South Brisbane
Dog,Unregistered,ascot,2019-04-01,Brisbane,North Brisbane
Dog,Defecating In Public,coopers plains,2019-04-01,Brisbane,South Brisbane
Dog,Defecating In Public,coopers plains,2019-04-01,Brisbane,South Brisbane
Other Animal,Rabbit,nundah,2019-04-01,Brisbane,North Brisbane
NA,Attack On A Person,rochedale,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,inala,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,hamilton,2019-04-01,Brisbane,North Brisbane
Other Animal,Wandering,aspley,2019-04-01,Brisbane,North Brisbane
NA,NA,herston,2019-04-01,Brisbane,Central Brisbane
Dog,Fencing Issues,keperra,2019-04-01,Brisbane,North Brisbane
Dog,Fencing Issues,forest lake,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,taringa,2019-04-01,Brisbane,West Brisbane
NA,Not An Attack,grange,2019-04-01,Brisbane,North Brisbane
NA,Menacing,lota,2019-04-01,Brisbane,East Brisbane
Cat,Trapping,bald hills,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,stretton,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,holland park west,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,wooloowin,2019-04-01,Brisbane,North Brisbane
Cat,Trapping,geebung,2019-04-01,Brisbane,North Brisbane
NA,NA,wishart,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,inala,2019-04-01,Brisbane,South Brisbane
NA,Attack On An Animal,lutwyche,2019-04-01,Brisbane,North Brisbane
Cat,Wandering,east brisbane,2019-04-01,Brisbane,Central Brisbane
NA,Attack On An Animal,paddington,2019-04-01,Brisbane,Central Brisbane
Dog,Fencing Issues,brighton,2019-04-01,Brisbane,North Brisbane
Cat,Trapping,clayfield,2019-04-01,Brisbane,North Brisbane
NA,Attack On A Person,yeronga,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,moorooka,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,inala,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,nudgee,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,hemmant,2019-04-01,Brisbane,East Brisbane
Dog,Fencing Issues,wishart,2019-04-01,Brisbane,South Brisbane
NA,Attack On An Animal,banyo,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,banyo,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,wynnum,2019-04-01,Brisbane,East Brisbane
Dog,Fencing Issues,banyo,2019-04-01,Brisbane,North Brisbane
Dog,Defecating In Public,hamilton,2019-04-01,Brisbane,North Brisbane
Cat,Trapping,kedron,2019-04-01,Brisbane,North Brisbane
Other Animal,Nuisance Animal,tingalpa,2019-04-01,Brisbane,East Brisbane
NA,NA,wishart,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,zillmere,2019-04-01,Brisbane,North Brisbane
NA,Attack On A Person,wakerley,2019-04-01,Brisbane,East Brisbane
NA,NA,zillmere,2019-04-01,Brisbane,North Brisbane
Other Animal,Fox,rocklea,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,spring hill,2019-04-01,Brisbane,Central Brisbane
NA,Menacing,aspley,2019-04-01,Brisbane,North Brisbane
NA,NA,kenmore,2019-04-01,Brisbane,West Brisbane
NA,Attack On A Person,mansfield,2019-04-01,Brisbane,South Brisbane
NA,NA,newmarket,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,stafford heights,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,wilston,2019-04-01,Brisbane,North Brisbane
Other Animal,Nuisance Animal,new farm,2019-04-01,Brisbane,Central Brisbane
NA,Attack On An Animal,rochedale,2019-04-01,Brisbane,South Brisbane
Dog,Unregistered,norman park,2019-04-01,Brisbane,East Brisbane
NA,Attack On An Animal,cannon hill,2019-04-01,Brisbane,East Brisbane
Dog,Odour,NA,2019-04-01,Brisbane,NA
Dog,Unregistered,tingalpa,2019-04-01,Brisbane,East Brisbane
NA,Attack On An Animal,wynnum,2019-04-01,Brisbane,East Brisbane
NA,Attack On A Person,forest lake,2019-04-01,Brisbane,South Brisbane
NA,NA,moorooka,2019-04-01,Brisbane,South Brisbane
NA,Not An Attack,aspley,2019-04-01,Brisbane,North Brisbane
Dog,Fencing Issues,burbank,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,zillmere,2019-04-01,Brisbane,North Brisbane
NA,NA,inala,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,carina heights,2019-04-01,Brisbane,East Brisbane
Dog,Unregistered,toowong,2019-04-01,Brisbane,West Brisbane
NA,NA,bellbowrie,2019-04-01,Brisbane,West Brisbane
Other Animal,Wild Dog,toowong,2019-04-01,Brisbane,West Brisbane
NA,NA,norman park,2019-04-01,Brisbane,East Brisbane
Dog,Wandering,bridgeman downs,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,deagon,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,lota,2019-04-01,Brisbane,East Brisbane
Dog,Fencing Issues,chermside,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,sunnybank hills,2019-04-01,Brisbane,South Brisbane
Dog,Defecating In Public,paddington,2019-04-01,Brisbane,Central Brisbane
Dog,Wandering,bald hills,2019-04-01,Brisbane,North Brisbane
NA,NA,mount gravatt east,2019-04-01,Brisbane,South Brisbane
NA,NA,sunnybank hills,2019-04-01,Brisbane,South Brisbane
Dog,Odour,mount gravatt east,2019-04-01,Brisbane,South Brisbane
Other Animal,Deer,pullenvale,2019-04-01,Brisbane,West Brisbane
Cat,Trapping,forest lake,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,wynnum,2019-04-01,Brisbane,East Brisbane
Dog,Fencing Issues,inala,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,sunnybank,2019-04-01,Brisbane,South Brisbane
Dog,Defecating In Public,westlake,2019-04-01,Brisbane,West Brisbane
Dog,Wandering,ascot,2019-04-01,Brisbane,North Brisbane
Other Animal,Deer,pullenvale,2019-04-01,Brisbane,West Brisbane
Dog,Defecating In Public,toowong,2019-04-01,Brisbane,West Brisbane
Dog,Fencing Issues,the gap,2019-04-01,Brisbane,West Brisbane
NA,NA,balmoral,2019-04-01,Brisbane,East Brisbane
Dog,Odour,manly west,2019-04-01,Brisbane,East Brisbane
Dog,Odour,manly west,2019-04-01,Brisbane,East Brisbane
Dog,Fencing Issues,forest lake,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,kuraby,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,bulimba,2019-04-01,Brisbane,East Brisbane
Dog,Wandering,chermside,2019-04-01,Brisbane,North Brisbane
NA,Not An Attack,northgate,2019-04-01,Brisbane,North Brisbane
Cat,Wandering,greenslopes,2019-04-01,Brisbane,South Brisbane
NA,Menacing,west end,2019-04-01,Brisbane,Central Brisbane
NA,Attack On A Person,the gap,2019-04-01,Brisbane,West Brisbane
Other Animal,Fox,geebung,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,sinnamon park,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,wakerley,2019-04-01,Brisbane,East Brisbane
Cat,Trapping,hendra,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,graceville,2019-04-01,Brisbane,West Brisbane
Cat,Wandering,bracken ridge,2019-04-01,Brisbane,North Brisbane
Other Animal,Deer,pullenvale,2019-04-01,Brisbane,West Brisbane
Other Animal,Fox,chandler,2019-04-01,Brisbane,East Brisbane
Other Animal,Fox,lake manchester,2019-04-01,Brisbane,West Brisbane
Dog,Surrender,hendra,2019-04-01,Brisbane,North Brisbane
Cat,Trapping,brighton,2019-04-01,Brisbane,North Brisbane
Dog,Unregistered,mount crosby,2019-04-01,Brisbane,West Brisbane
Cat,Trapping,wakerley,2019-04-01,Brisbane,East Brisbane
NA,NA,wavell heights,2019-04-01,Brisbane,North Brisbane
Cat,Wandering,bracken ridge,2019-04-01,Brisbane,North Brisbane
Cat,Wandering,bracken ridge,2019-04-01,Brisbane,North Brisbane
NA,Attack On A Person,brighton,2019-04-01,Brisbane,North Brisbane
Cat,Trapping,camp hill,2019-04-01,Brisbane,East Brisbane
Other Animal,Wild Dog,wacol,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,annerley,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,calamvale,2019-04-01,Brisbane,South Brisbane
NA,Attack On An Animal,kenmore,2019-04-01,Brisbane,West Brisbane
Dog,Unregistered,NA,2019-04-01,Brisbane,NA
Cat,Trapping,darra,2019-04-01,Brisbane,South Brisbane
Other Animal,Fox,oxley,2019-04-01,Brisbane,West Brisbane
NA,NA,the gap,2019-04-01,Brisbane,West Brisbane
NA,NA,geebung,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,kedron,2019-04-01,Brisbane,North Brisbane
NA,NA,dutton park,2019-04-01,Brisbane,South Brisbane
Other Animal,NA,norman park,2019-04-01,Brisbane,East Brisbane
NA,Menacing,kedron,2019-04-01,Brisbane,North Brisbane
Other Animal,Fox,seven hills,2019-04-01,Brisbane,East Brisbane
NA,Menacing,zillmere,2019-04-01,Brisbane,North Brisbane
Dog,Unregistered,sandgate,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,keperra,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,zillmere,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,ferny grove,2019-04-01,Brisbane,North Brisbane
NA,Not An Attack,bracken ridge,2019-04-01,Brisbane,North Brisbane
Dog,Fencing Issues,carina heights,2019-04-01,Brisbane,East Brisbane
NA,NA,deagon,2019-04-01,Brisbane,North Brisbane
Dog,Fencing Issues,bracken ridge,2019-04-01,Brisbane,North Brisbane
Cat,Trapping,brighton,2019-04-01,Brisbane,North Brisbane
Other Animal,Rabbit,carindale,2019-04-01,Brisbane,East Brisbane
NA,NA,gordon park,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,sandgate,2019-04-01,Brisbane,North Brisbane
NA,NA,chelmer,2019-04-01,Brisbane,West Brisbane
Dog,Fencing Issues,jamboree heights,2019-04-01,Brisbane,West Brisbane
Dog,Wandering,nudgee beach,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,enoggera,2019-04-01,Brisbane,Central Brisbane
Dog,Fencing Issues,moorooka,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,deagon,2019-04-01,Brisbane,North Brisbane
Other Animal,Nuisance Animal,sandgate,2019-04-01,Brisbane,North Brisbane
Dog,NA,lota,2019-04-01,Brisbane,East Brisbane
Other Animal,Fox,tarragindi,2019-04-01,Brisbane,South Brisbane
Other Animal,Deer,anstead,2019-04-01,Brisbane,West Brisbane
Cat,Trapping,sunnybank hills,2019-04-01,Brisbane,South Brisbane
NA,Menacing,acacia ridge,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,sunnybank,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,lota,2019-04-01,Brisbane,East Brisbane
NA,Attack On A Person,mount gravatt,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,spring hill,2019-04-01,Brisbane,Central Brisbane
Dog,NA,manly west,2019-04-01,Brisbane,East Brisbane
NA,Not An Attack,brighton,2019-04-01,Brisbane,North Brisbane
Cat,Wandering,sunnybank,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,darra,2019-04-01,Brisbane,South Brisbane
NA,Not An Attack,the gap,2019-04-01,Brisbane,West Brisbane
NA,Attack On An Animal,holland park west,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,belmont,2019-04-01,Brisbane,East Brisbane
Dog,Wandering,nudgee beach,2019-04-01,Brisbane,North Brisbane
Dog,Fencing Issues,wishart,2019-04-01,Brisbane,South Brisbane
Dog,Too Many Animals,macgregor,2019-04-01,Brisbane,South Brisbane
Dog,Too Many Animals,hawthorne,2019-04-01,Brisbane,East Brisbane
Dog,Fencing Issues,inala,2019-04-01,Brisbane,South Brisbane
NA,Menacing,wishart,2019-04-01,Brisbane,South Brisbane
NA,Attack On An Animal,forest lake,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,st lucia,2019-04-01,Brisbane,West Brisbane
NA,NA,bracken ridge,2019-04-01,Brisbane,North Brisbane
Other Animal,Fox,tarragindi,2019-04-01,Brisbane,South Brisbane
Other Animal,Fox,yeerongpilly,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,kedron,2019-04-01,Brisbane,North Brisbane
Other Animal,Fox,bridgeman downs,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,toowong,2019-04-01,Brisbane,West Brisbane
NA,NA,mitchelton,2019-04-01,Brisbane,North Brisbane
NA,Attack On A Person,acacia ridge,2019-04-01,Brisbane,South Brisbane
NA,Attack On An Animal,sunnybank,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,brighton,2019-04-01,Brisbane,North Brisbane
NA,Menacing,wishart,2019-04-01,Brisbane,South Brisbane
NA,NA,sunnybank,2019-04-01,Brisbane,South Brisbane
NA,Attack On An Animal,willawong,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,chandler,2019-04-01,Brisbane,East Brisbane
Other Animal,Nuisance Animal,upper mount gravatt,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,zillmere,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,gumdale,2019-04-01,Brisbane,East Brisbane
NA,Attack On An Animal,bracken ridge,2019-04-01,Brisbane,North Brisbane
Dog,Unregistered,NA,2019-04-01,Brisbane,NA
Dog,Fencing Issues,chermside,2019-04-01,Brisbane,North Brisbane
Cat,Trapping,enoggera,2019-04-01,Brisbane,Central Brisbane
Other Animal,Nuisance Animal,mount gravatt,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,mitchelton,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,virginia,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,bardon,2019-04-01,Brisbane,West Brisbane
NA,NA,seventeen mile rocks,2019-04-01,Brisbane,South Brisbane
Dog,Unregistered,runcorn,2019-04-01,Brisbane,South Brisbane
Dog,Unregistered,NA,2019-04-01,Brisbane,NA
Dog,Unregistered,carina,2019-04-01,Brisbane,East Brisbane
NA,Attack On An Animal,mount crosby,2019-04-01,Brisbane,West Brisbane
Other Animal,Deer,anstead,2019-04-01,Brisbane,West Brisbane
Other Animal,Wild Dog,wacol,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,northgate,2019-04-01,Brisbane,North Brisbane
NA,Attack On A Person,acacia ridge,2019-04-01,Brisbane,South Brisbane
Other Animal,Fox,burbank,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,stafford,2019-04-01,Brisbane,North Brisbane
Dog,Insufficient Space,sandgate,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,west end,2019-04-01,Brisbane,Central Brisbane
NA,Attack On An Animal,riverhills,2019-04-01,Brisbane,West Brisbane
NA,Attack On An Animal,stafford heights,2019-04-01,Brisbane,North Brisbane
Other Animal,Deer,brookfield,2019-04-01,Brisbane,West Brisbane
NA,NA,sherwood,2019-04-01,Brisbane,West Brisbane
NA,Attack On An Animal,bardon,2019-04-01,Brisbane,West Brisbane
Other Animal,Fox,manly west,2019-04-01,Brisbane,East Brisbane
Other Animal,Fox,upper brookfield,2019-04-01,Brisbane,West Brisbane
NA,Not An Attack,toowong,2019-04-01,Brisbane,West Brisbane
NA,Not An Attack,toowong,2019-04-01,Brisbane,West Brisbane
Dog,Too Many Animals,acacia ridge,2019-04-01,Brisbane,South Brisbane
Dog,NA,west end,2019-04-01,Brisbane,Central Brisbane
Cat,Wandering,holland park west,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,manly west,2019-04-01,Brisbane,East Brisbane
NA,Attack On An Animal,greenslopes,2019-04-01,Brisbane,South Brisbane
Dog,Unregistered,red hill,2019-04-01,Brisbane,Central Brisbane
Dog,Fencing Issues,brighton,2019-04-01,Brisbane,North Brisbane
Cat,Wandering,inala,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,nundah,2019-04-01,Brisbane,North Brisbane
Dog,Fencing Issues,holland park,2019-04-01,Brisbane,South Brisbane
Other Animal,Fox,corinda,2019-04-01,Brisbane,West Brisbane
Cat,Trapping,wynnum,2019-04-01,Brisbane,East Brisbane
Other Animal,Pest / Feral Animal,sinnamon park,2019-04-01,Brisbane,South Brisbane
NA,Attack On An Animal,salisbury,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,acacia ridge,2019-04-01,Brisbane,South Brisbane
NA,Menacing,kenmore,2019-04-01,Brisbane,West Brisbane
Other Animal,Fox,oxley,2019-04-01,Brisbane,West Brisbane
Dog,Too Many Animals,yeronga,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,acacia ridge,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,calamvale,2019-04-01,Brisbane,South Brisbane
Dog,NA,manly west,2019-04-01,Brisbane,East Brisbane
NA,Attack On An Animal,stafford heights,2019-04-01,Brisbane,North Brisbane
Other Animal,Nuisance Animal,inala,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,wynnum west,2019-04-01,Brisbane,East Brisbane
NA,NA,tarragindi,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,oxley,2019-04-01,Brisbane,West Brisbane
Dog,Defecating In Public,albion,2019-04-01,Brisbane,North Brisbane
Cat,Trapping,zillmere,2019-04-01,Brisbane,North Brisbane
Other Animal,NA,bellbowrie,2019-04-01,Brisbane,West Brisbane
Dog,Wandering,mount gravatt,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,nundah,2019-04-01,Brisbane,North Brisbane
Other Animal,Fox,carindale,2019-04-01,Brisbane,East Brisbane
NA,Attack On An Animal,wynnum,2019-04-01,Brisbane,East Brisbane
Dog,NA,carindale,2019-04-01,Brisbane,East Brisbane
Other Animal,Deer,mount ommaney,2019-04-01,Brisbane,West Brisbane
Dog,Fencing Issues,carindale,2019-04-01,Brisbane,East Brisbane
Cat,Trapping,teneriffe,2019-04-01,Brisbane,Central Brisbane
Dog,Fencing Issues,sunnybank hills,2019-04-01,Brisbane,South Brisbane
NA,Attack On An Animal,bardon,2019-04-01,Brisbane,West Brisbane
Dog,NA,bulimba,2019-04-01,Brisbane,East Brisbane
Other Animal,Fencing Issues,rochedale,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,milton,2019-04-01,Brisbane,West Brisbane
Dog,Fencing Issues,stafford heights,2019-04-01,Brisbane,North Brisbane
Dog,NA,bulimba,2019-04-01,Brisbane,East Brisbane
Dog,Wandering,algester,2019-04-01,Brisbane,South Brisbane
NA,Menacing,tarragindi,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,cannon hill,2019-04-01,Brisbane,East Brisbane
NA,Attack On An Animal,chapel hill,2019-04-01,Brisbane,West Brisbane
Cat,Trapping,brighton,2019-04-01,Brisbane,North Brisbane
NA,Not An Attack,calamvale,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,chermside west,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,moorooka,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,highgate hill,2019-04-01,Brisbane,Central Brisbane
Cat,Wandering,pallara,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,calamvale,2019-04-01,Brisbane,South Brisbane
NA,Attack On An Animal,nudgee beach,2019-04-01,Brisbane,North Brisbane
Cat,Wandering,norman park,2019-04-01,Brisbane,East Brisbane
NA,Attack On A Person,nundah,2019-04-01,Brisbane,North Brisbane
Cat,NA,salisbury,2019-04-01,Brisbane,South Brisbane
NA,Not An Attack,chermside,2019-04-01,Brisbane,North Brisbane
Cat,Wandering,mansfield,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,carindale,2019-04-01,Brisbane,East Brisbane
NA,Attack On An Animal,coopers plains,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,hamilton,2019-04-01,Brisbane,North Brisbane
NA,Menacing,wynnum west,2019-04-01,Brisbane,East Brisbane
Cat,Trapping,coopers plains,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,geebung,2019-04-01,Brisbane,North Brisbane
Dog,Unregistered,NA,2019-04-01,Brisbane,NA
NA,Attack On A Person,chermside,2019-04-01,Brisbane,North Brisbane
Other Animal,Fox,brookfield,2019-04-01,Brisbane,West Brisbane
NA,Attack On An Animal,riverhills,2019-04-01,Brisbane,West Brisbane
Dog,Wandering,kenmore,2019-04-01,Brisbane,West Brisbane
Dog,Wandering,ellen grove,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,stafford heights,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,bellbowrie,2019-04-01,Brisbane,West Brisbane
Dog,Wandering,bellbowrie,2019-04-01,Brisbane,West Brisbane
Dog,Fencing Issues,carina,2019-04-01,Brisbane,East Brisbane
Dog,Fencing Issues,bracken ridge,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,milton,2019-04-01,Brisbane,West Brisbane
Cat,Wandering,mansfield,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,yeronga,2019-04-01,Brisbane,South Brisbane
NA,NA,sumner,2019-04-01,Brisbane,South Brisbane
NA,NA,holland park,2019-04-01,Brisbane,South Brisbane
Dog,Defecating In Public,sandgate,2019-04-01,Brisbane,North Brisbane
Dog,Odour,banyo,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,chelmer,2019-04-01,Brisbane,West Brisbane
Cat,Wandering,carina heights,2019-04-01,Brisbane,East Brisbane
Cat,NA,holland park west,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,tarragindi,2019-04-01,Brisbane,South Brisbane
Other Animal,NA,coorparoo,2019-04-01,Brisbane,East Brisbane
Cat,Trapping,forest lake,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,forest lake,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,nudgee beach,2019-04-01,Brisbane,North Brisbane
NA,NA,bracken ridge,2019-04-01,Brisbane,North Brisbane
Dog,Defecating In Public,moorooka,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,pallara,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,virginia,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,ellen grove,2019-04-01,Brisbane,South Brisbane
NA,Not An Attack,sunnybank,2019-04-01,Brisbane,South Brisbane
Other Animal,Pest / Feral Animal,grange,2019-04-01,Brisbane,North Brisbane
Dog,Fencing Issues,camp hill,2019-04-01,Brisbane,East Brisbane
Cat,Wandering,hemmant,2019-04-01,Brisbane,East Brisbane
Dog,Fencing Issues,carina,2019-04-01,Brisbane,East Brisbane
Dog,Wandering,ellen grove,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,bulimba,2019-04-01,Brisbane,East Brisbane
Cat,Trapping,acacia ridge,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,carina heights,2019-04-01,Brisbane,East Brisbane
NA,NA,robertson,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,west end,2019-04-01,Brisbane,Central Brisbane
Other Animal,Fox,coopers plains,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,coopers plains,2019-04-01,Brisbane,South Brisbane
NA,NA,mitchelton,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,sunnybank,2019-04-01,Brisbane,South Brisbane
Other Animal,NA,acacia ridge,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,mitchelton,2019-04-01,Brisbane,North Brisbane
Cat,NA,forest lake,2019-04-01,Brisbane,South Brisbane
Other Animal,Wild Dog,brisbane airport,2019-04-01,Brisbane,North Brisbane
Dog,Fencing Issues,karana downs,2019-04-01,Brisbane,West Brisbane
Dog,Unregistered,NA,2019-04-01,Brisbane,NA
Cat,Trapping,yeronga,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,runcorn,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,manly west,2019-04-01,Brisbane,East Brisbane
Dog,Fencing Issues,manly west,2019-04-01,Brisbane,East Brisbane
Other Animal,Insufficient Space,kedron,2019-04-01,Brisbane,North Brisbane
Other Animal,Fox,wynnum,2019-04-01,Brisbane,East Brisbane
NA,NA,fitzgibbon,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,upper kedron,2019-04-01,Brisbane,West Brisbane
Other Animal,Fox,morningside,2019-04-01,Brisbane,East Brisbane
Cat,Trapping,wacol,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,wynnum west,2019-04-01,Brisbane,East Brisbane
NA,NA,windsor,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,dutton park,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,wavell heights,2019-04-01,Brisbane,North Brisbane
Dog,Fencing Issues,camp hill,2019-04-01,Brisbane,East Brisbane
Cat,Wandering,inala,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,ellen grove,2019-04-01,Brisbane,South Brisbane
NA,Attack On An Animal,ashgrove,2019-04-01,Brisbane,West Brisbane
Dog,Unregistered,NA,2019-04-01,Brisbane,NA
Dog,Fencing Issues,rocklea,2019-04-01,Brisbane,South Brisbane
NA,Attack On An Animal,pullenvale,2019-04-01,Brisbane,West Brisbane
Dog,Wandering,ascot,2019-04-01,Brisbane,North Brisbane
NA,Not An Attack,ashgrove,2019-04-01,Brisbane,West Brisbane
Other Animal,Fox,geebung,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,mcdowall,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,runcorn,2019-04-01,Brisbane,South Brisbane
NA,NA,kholo,2019-04-01,Brisbane,West Brisbane
Dog,Fencing Issues,gordon park,2019-04-01,Brisbane,North Brisbane
Cat,Wandering,holland park west,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,wynnum,2019-04-01,Brisbane,East Brisbane
Dog,Wandering,sunnybank hills,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,sunnybank hills,2019-04-01,Brisbane,South Brisbane
NA,Menacing,ellen grove,2019-04-01,Brisbane,South Brisbane
Cat,Wandering,bracken ridge,2019-04-01,Brisbane,North Brisbane
Cat,Wandering,inala,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,camp hill,2019-04-01,Brisbane,East Brisbane
Cat,Trapping,wynnum,2019-04-01,Brisbane,East Brisbane
Other Animal,Deer,pullenvale,2019-04-01,Brisbane,West Brisbane
Dog,Fencing Issues,inala,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,sandgate,2019-04-01,Brisbane,North Brisbane
Cat,Trapping,kangaroo point,2019-04-01,Brisbane,Central Brisbane
NA,Attack On An Animal,carseldine,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,east brisbane,2019-04-01,Brisbane,Central Brisbane
NA,Attack On A Person,inala,2019-04-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,holland park,2019-04-01,Brisbane,South Brisbane
Dog,Fencing Issues,inala,2019-04-01,Brisbane,South Brisbane
Other Animal,Fox,rochedale,2019-04-01,Brisbane,South Brisbane
Dog,Wandering,nudgee beach,2019-04-01,Brisbane,North Brisbane
Dog,Fencing Issues,wavell heights,2019-04-01,Brisbane,North Brisbane
Dog,Fencing Issues,kuraby,2019-04-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,mansfield,2019-04-01,Brisbane,South Brisbane
Cat,Trapping,inala,2019-04-01,Brisbane,South Brisbane
NA,Attack On A Person,inala,2019-04-01,Brisbane,South Brisbane
Dog,Defecating In Public,bellbowrie,2019-04-01,Brisbane,West Brisbane
Dog,Too Many Animals,brighton,2019-04-01,Brisbane,North Brisbane
Dog,Wandering,hamilton,2019-04-01,Brisbane,North Brisbane
NA,Attack On An Animal,wavell heights,2019-04-01,Brisbane,North Brisbane
